list,name,desc,labels,estimate_md
Do zrobienia teraz,Kalibracja szacunków na zamkniętych zadaniach,"Porównać rzeczywisty czas CAL-SLOT-ENGINE, FNL-2PHASE-BOOKING-MECHANICS i przeglądarki dokumentacji z szacunkiem w MD. Bez tego żaden termin nie jest wiążący (PLAN-DOKONCZENIA-SYSTEMU.md rozdz. 5).",proces,"0,5"
Do zrobienia teraz,Okno kontraktowe: rejestracja 31 nowych wymagań,"Rejestracja FLD-*, FLD-SIGN-*, PRICE-*, INV-*, DOC-*, zmiany statusów, zmiana FLD-PHOTO-SET (4+2n), przepisanie FNL-2PHASE-INVOICE, zdjęcie invoice_phase_1 z N8a, leads:create dla audytora, próg 300 m2 dla VAT.",kontrakt,1-2
Do zrobienia teraz,Zatwierdzenie ADR-013 (warstwa zapisu Field App),Szkic: docs/architecture/ADR-013-warstwa-zapisu-field-app.md. Do wydania przez contract-steward razem z wpisem w 01-ADR-spec-conflicts.md.,kontrakt,"0,5"
Zależności zewnętrzne,Umowa z EuroCert (znacznik czasu),"Sprawdzić, czy da się zawrzeć przed wpisem spółki do KRS. Blokuje FLD-SIGN-TSA.",formalne,
Zależności zewnętrzne,Konto Apple Developer i Google Play,Apple wymaga numeru D-U-N-S spółki. Rozważyć start na Androidzie. Blokuje FLD-APP-DISTRIBUTION.,formalne,
Zależności zewnętrzne,Treści dokumentów prawnych (D5),"7 wzorów w docs/legal/ ma dziś treść zastępczą. Podmiana bez zmiany kodu, jeśli zachowane pola {{...}}.",formalne,
Zależności zewnętrzne,Odpowiedzi prawnika na pytania 1-8,"Trwały nośnik, umowa poza lokalem, podpis na telefonie, RODO lokalizacji w tle. Blokuje podpis zdalny i umowę.",formalne,
Zależności zewnętrzne,Uzupełnienie cennika (D16),"13 pozycji bez kosztu ekipy, 5 bez kategorii i opisu. Blokuje marżę i rozliczenia ekip.",dane,
Zależności zewnętrzne,Konto i klucz API inFakt,Potrzebne do INV-PROFORMA / INV-ADVANCE-AUTO / INV-FINAL. Zapewne po KRS.,formalne,
P1 Powiadomienia,"NTF-GATEWAY-SMS: Bramka SMSAPI: wysyłka z kolejki, pole nadawcy gotowe i przetestowane",Wymaganie NTF-GATEWAY-SMS. Strumień P1 Powiadomienia. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p1,
P1 Powiadomienia,NTF-GATEWAY-EMAIL: Bramka Mailtrap: wysyłka i zdarzenie delivery jako dowód doręczenia,Wymaganie NTF-GATEWAY-EMAIL. Strumień P1 Powiadomienia. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p1,
P1 Powiadomienia,NTF-TEMPLATES: Szablony HTML wiadomości,Wymaganie NTF-TEMPLATES. Strumień P1 Powiadomienia. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p1,
P1 Powiadomienia,NTF-CATALOG-PARITY: Każde powiadomienie z katalogu ma szablon i odwrotnie,Wymaganie NTF-CATALOG-PARITY. Strumień P1 Powiadomienia. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p1,
P1 Powiadomienia,"NTF-QUEUE-WINDOW: SMS tylko w oknie 8:00-18:00, poza oknem kolejkowanie",Wymaganie NTF-QUEUE-WINDOW. Strumień P1 Powiadomienia. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p1,
P1 Powiadomienia,NTF-RETRY: Ponowienie błędnych wysyłek z Centrum Powiadomień,Wymaganie NTF-RETRY. Strumień P1 Powiadomienia. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p1,
P1 Powiadomienia,"NTF-POLY: Powiadomienia serwisowe i usterkowe, nie tylko lejek",Wymaganie NTF-POLY. Strumień P1 Powiadomienia. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p1,
P1 Powiadomienia,NTF-HISTORY: Historia komunikacji na karcie 360,Wymaganie NTF-HISTORY. Strumień P1 Powiadomienia. Szczegóły: docs/workorders/PLAN-DOKONCZENIA-SYSTEMU.md,p1,
